Table V9.0,fnGetKeys.Key,fnGetKeys.Description,fnGetKeys.Duplicates,fnGetKeys.Activity code
AMETUTI,AME0,CODMET,No,
AMIGKEY,AMY0,DOSSIER+IDENT,No,
AMOTCLE,AMC0,TYPZON+IDENT1+IDENT2,No,
AMOTCLE,AMC1,IDENT1+IDENT2,Yes,
AMOULIN,AI01,CODE,No,
AMOULIN,AI02,INDICEM,No,
AMOULIN1,AI11,PLAN,No,
AMOULIN2,AI21,PLAN+CODE,No,
AMSK,CODMSK,CODMSK,No,
AMSK,ABRMSK,ABRMSK,Yes,
AMSKACT,TYPAFF,TYPAFF+CODAFF+CODZON+TYPACT+NOACT,No,
AMSKACT,NOACT,CODAFF+CODZON+TYPACT+NOACT+TYPAFF,No,
AMSKPAR,CODPAR,TYPAFF+CODAFF+CODZON+CODPAR,No,
AMSKPAR,CODAFF,CODAFF+CODZON,Yes,
AMSKZON,CODE,CODMSK+CODZON,No,
AMSKZON,CODZON,CODMSK+NUMBLOC+NOZONE+CODZON,No,
AMSKZON,CODTYP,CODTYP+CODMSK+CODZON,No,
AMSKZON,DICO,CODZON+CODMSK,No,
ANAVCRE,ANI0,COD+LIG,No,
ANAVCRE,ANI1,FNC+OBJ+LIG,No,
ANAVFIL,ANH0,COD+LIG,No,
ANAVFIL,ANH1,FNC+OBJ+LIG,No,
ANAVIG,ANG0,COD,No,
ANAVIG,ANG1,FNC+OBJ,No,
ANNUAIRE,ANU0,COD,No,
AOBJBUR,AOA0,ABREV+IDENT1+IDENT2+IDENT3,No,
AOBJBURMOD,AON0,ABREV+TRN+CPY+MODELE,No,
AOBJET,ABREV,ABREV,No,
AOBJET,NOMFIC,NOMFIC+ABREV,No,
AOBJEXT,AOE0,EXT,No,
AOBJEXT,AOE1,OBJ+EXT,No,
AOBJEXTD,AOD0,EXT+NUMLIG,No,
AOBJEXTMP,AOW0,NUMLOT,No,
AOBJEXTMP,AOW1,EXT+NUMLOT,Yes,
AOBJEXTMPB,AOZ0,NUMLOT+NUMLIG,No,
AOBJEXTMPB,AOZ2,NUMLOT-NUMLIG,No,
AOBJEXTMPC,AOY0,NUMLOT+NUMLIG,No,
